Method,Convergence Iteration,Convergence Time (s),Time/Iteration (ms),Accuracies,Actual Iterations
Basic Gradient Descent,21,0.23504948616027832,11.01926565170288,"[0.34971945701357465, 0.7813574660633484, 0.8089894419306184, 0.8252307692307692, 0.8363559577677224, 0.844657616892911, 0.8510165912518853, 0.8541417797888387, 0.8575444947209653, 0.8605128205128205, 0.863420814479638, 0.8656651583710407, 0.8677405731523379, 0.8695625942684766, 0.8705882352941177, 0.8718310708898944, 0.8731221719457014, 0.8732549019607844, 0.8736289592760181, 0.8739064856711916, 0.8740392156862745, 0.8741357466063349, 0.8743046757164404, 0.8745098039215686, 0.8745218702865761, 0.8745218702865761, 0.8747028657616893, 0.8746546003016591, 0.8748838612368024, 0.8746425339366516, 0.8749562594268476, 0.8745098039215686, 0.8754992458521871, 0.8741116138763197, 0.8751131221719457, 0.8729894419306184, 0.8739909502262443, 0.8688265460030166, 0.8683921568627451, 0.8564585218702866, 0.8537677224736048, 0.8406998491704374, 0.841894419306184, 0.841894419306184, 0.8481809954751132, 0.8460331825037707, 0.8512941176470589, 0.8464434389140272, 0.8511493212669683, 0.8457435897435898, 0.8505218702865762, 0.8455505279034691, 0.8504615384615385, 0.845683257918552, 0.8505218702865762, 0.8457315233785822, 0.8506184012066365, 0.8457677224736049, 0.8506304675716441, 0.8457315233785822, 0.8505942684766215, 0.8458039215686275, 0.8506304675716441, 0.8457677224736049, 0.8505942684766215, 0.8457556561085973, 0.8506184012066365, 0.8457435897435898, 0.8505942684766215, 0.8457315233785822, 0.8505701357466063, 0.8457797888386124, 0.8505460030165912, 0.8457677224736049, 0.8505701357466063, 0.8458039215686275, 0.8506184012066365, 0.8458280542986425, 0.8506546003016592, 0.8458039215686275, 0.8506546003016592, 0.8457677224736049, 0.8506546003016592, 0.8457194570135746, 0.8506907993966818, 0.8456953242835595, 0.8507028657616893, 0.8457315233785822, 0.8506907993966818, 0.8457435897435898, 0.8507390648567119, 0.8458039215686275, 0.8507390648567119, 0.8457918552036199, 0.8507149321266968, 0.8457797888386124, 0.8506907993966818, 0.8458401206636501, 0.8506425339366516, 0.845815987933635]",100
Nestorov Accelerated Gradient,50,0.5391740798950195,10.482769012451172,"[0.34971945701357465, 0.39829864253393665, 0.5084766214177979, 0.6536832579185521, 0.7531463046757164, 0.797369532428356, 0.8165067873303168, 0.8256530920060332, 0.8317224736048265, 0.8358009049773756, 0.8393846153846154, 0.8428476621417798, 0.8470105580693816, 0.8511010558069382, 0.8547088989441931, 0.8578582202111614, 0.8606214177978884, 0.8630226244343892, 0.8647239819004525, 0.8655444947209653, 0.8661478129713424, 0.8661478129713424, 0.8654238310708899, 0.8646395173453997, 0.8628657616892911, 0.8616229260935143, 0.8610558069381599, 0.8615987933634992, 0.8626968325791855, 0.8632156862745098, 0.8641568627450981, 0.8650618401206637, 0.8664132730015083, 0.8670165912518853, 0.867788838612368, 0.8684766214177979, 0.8691644042232277, 0.8694660633484163, 0.8699125188536954, 0.870684766214178, 0.8711432880844645, 0.8715656108597285, 0.8719638009049774, 0.8724705882352941, 0.8729049773755656, 0.8735686274509804, 0.8738702865761689, 0.8740995475113122, 0.8741719457013575, 0.8743288084464556, 0.8742805429864253, 0.8744494720965309, 0.8745218702865761, 0.8745580693815987, 0.8746787330316742, 0.8746425339366516, 0.8747511312217194, 0.8748114630467572, 0.8746787330316742, 0.8747269984917043, 0.8747993966817497, 0.8748717948717949, 0.874920060331825, 0.8749803921568627, 0.8749441930618401, 0.8749562594268476, 0.874920060331825, 0.8749321266968326, 0.8749441930618401, 0.8749562594268476, 0.8749321266968326, 0.8749683257918552, 0.8749683257918552, 0.8749803921568627, 0.8750286576168929, 0.8750045248868779, 0.8750165912518854, 0.8750286576168929, 0.8751010558069382, 0.8750889894419306, 0.8750889894419306, 0.8751131221719457, 0.8751131221719457, 0.8751010558069382, 0.8751131221719457, 0.8751493212669683, 0.8751734539969834, 0.8751493212669683, 0.8751493212669683, 0.8751493212669683, 0.8752217194570135, 0.8752458521870287, 0.8752699849170438, 0.8752941176470588, 0.8753182503770739, 0.8753665158371041, 0.8753303167420814, 0.8753303167420814, 0.8753303167420814, 0.8753544494720965]",100
Polyak Accelerated Gradient,58,0.6499712467193604,10.670373439788818,"[0.34971945701357465, 0.37254901960784315, 0.43753846153846154, 0.5657435897435897, 0.7049773755656109, 0.7819004524886878, 0.8101719457013574, 0.8204886877828055, 0.8248084464555053, 0.8275716440422323, 0.8299607843137254, 0.8328929110105581, 0.8365972850678733, 0.8400965309200603, 0.8442835595776772, 0.8486515837104073, 0.8525490196078431, 0.8563137254901961, 0.8589803921568627, 0.8611885369532428, 0.8633846153846154, 0.8644102564102564, 0.8650980392156863, 0.8656892911010559, 0.8659426847662142, 0.8660392156862745, 0.8658340874811463, 0.8648325791855204, 0.8636742081447963, 0.8623589743589744, 0.8616953242835595, 0.8609954751131221, 0.8605972850678733, 0.8610920060331825, 0.8624072398190046, 0.8637466063348417, 0.8644947209653092, 0.865315233785822, 0.8655927601809955, 0.86615987933635, 0.8668717948717949, 0.867475113122172, 0.8675957767722473, 0.8679819004524887, 0.8685852187028658, 0.8689351432880844, 0.8694781297134239, 0.8704313725490196, 0.8710588235294118, 0.8719276018099548, 0.8724826546003016, 0.8730739064856712, 0.8730618401206637, 0.8732790346907994, 0.8733755656108597, 0.8735324283559578, 0.8738461538461538, 0.8742322775263952, 0.8745460030165912, 0.8746666666666667, 0.8748355957767723, 0.8748597285067873, 0.87489592760181, 0.8748717948717949, 0.874920060331825, 0.874606334841629, 0.8745218702865761, 0.874763197586727, 0.8748355957767723, 0.8747390648567119, 0.874763197586727, 0.8749079939668175, 0.8748717948717949, 0.8748597285067873, 0.874920060331825, 0.87489592760181, 0.8749079939668175, 0.8749079939668175, 0.8749441930618401, 0.8749441930618401, 0.8749683257918552, 0.8749683257918552, 0.875052790346908, 0.8750407239819005, 0.8750407239819005, 0.8749924585218702, 0.875052790346908, 0.8750769230769231, 0.8751131221719457, 0.8750889894419306, 0.8751010558069382, 0.8750648567119156, 0.8751131221719457, 0.8751493212669683, 0.8751855203619909, 0.8751613876319758, 0.8751251885369532, 0.8751734539969834, 0.8752337858220212, 0.8752458521870287]",100
ADAM,23,0.24624991416931152,10.295047760009766,"[0.34971945701357465, 0.4321447963800905, 0.5794147812971342, 0.7210135746606335, 0.793447963800905, 0.8214298642533937, 0.834184012066365, 0.8412066365007541, 0.8451161387631976, 0.8479517345399699, 0.8498340874811463, 0.8502564102564103, 0.8483981900452489, 0.8473846153846154, 0.8462745098039216, 0.8482533936651584, 0.8494962292609352, 0.8563740573152337, 0.8648808446455505, 0.8693092006033183, 0.8691885369532428, 0.869815987933635, 0.8733393665158371, 0.874763197586727, 0.8742564102564102, 0.8728808446455505, 0.8735444947209653, 0.8728084464555053, 0.8736651583710408, 0.8705882352941177, 0.8708295625942685, 0.8679939668174962, 0.8702141779788839, 0.8705882352941177, 0.8730135746606335, 0.8740995475113122, 0.8741960784313726, 0.8747149321266968, 0.8743770739064857, 0.8750286576168929, 0.8740633484162896, 0.8744253393665158, 0.8734358974358974, 0.8721206636500755, 0.870708898944193, 0.8677043740573153, 0.8665339366515837, 0.8639276018099548, 0.8678371040723982, 0.8702383107088989, 0.8727843137254901, 0.8747511312217194, 0.8742202111613876, 0.8751131221719457, 0.8744374057315234, 0.8750769230769231, 0.8738461538461538, 0.8746787330316742, 0.873001508295626, 0.8731101055806938, 0.8709864253393665, 0.8695867269984917, 0.867028657616893, 0.8642171945701358, 0.8648205128205129, 0.8658582202111614, 0.8687541478129713, 0.8721447963800905, 0.8729894419306184, 0.8744977375565611, 0.8735806938159879, 0.8748597285067873, 0.8733514328808446, 0.8736772247360483, 0.8718914027149322, 0.8716138763197586, 0.8692126696832579, 0.8688627450980392, 0.8671613876319759, 0.8667993966817497, 0.8671613876319759, 0.868657616892911, 0.8690920060331825, 0.8712760180995475, 0.87126395173454, 0.8723016591251885, 0.8717466063348416, 0.8722171945701358, 0.8709622926093514, 0.8713966817496229, 0.8699004524886877, 0.8701900452488688, 0.8688868778280543, 0.8696229260935143, 0.8688868778280543, 0.8699607843137255, 0.8695143288084465, 0.8706726998491704, 0.8703710407239819, 0.870817496229261]",100
ADAgrad,34,0.3582630157470703,10.254693031311035,"[0.34971945701357465, 0.5667933634992458, 0.72215987933635, 0.7669019607843137, 0.7952458521870287, 0.8105098039215686, 0.8199336349924585, 0.8259064856711915, 0.8299849170437406, 0.8340754147812971, 0.8371523378582202, 0.8407963800904977, 0.8438250377073907, 0.845815987933635, 0.8475897435897436, 0.8479879336349925, 0.8509441930618401, 0.8563378582202111, 0.8546606334841629, 0.8575203619909503, 0.8520301659125189, 0.8584494720965309, 0.8562413273001508, 0.8646274509803922, 0.864579185520362, 0.8691161387631976, 0.8686817496229261, 0.8709743589743589, 0.8703469079939669, 0.8721568627450981, 0.8721568627450981, 0.8730618401206637, 0.8730739064856712, 0.8735444947209653, 0.874027149321267, 0.8739788838612368, 0.8746425339366516, 0.8744977375565611, 0.8751131221719457, 0.8747752639517345, 0.8753303167420814, 0.8750045248868779, 0.8754268476621417, 0.8750648567119156, 0.8755354449472097, 0.8752337858220212, 0.8757043740573153, 0.8752458521870287, 0.8755716440422323, 0.8752458521870287, 0.8756681749622927, 0.8751131221719457, 0.8757043740573153, 0.8748838612368024, 0.875475113122172, 0.8748114630467572, 0.8752820512820513, 0.8744977375565611, 0.8751372549019608, 0.874184012066365, 0.8750286576168929, 0.874184012066365, 0.8750889894419306, 0.8742684766214178, 0.8750769230769231, 0.8744012066365008, 0.8753061840120664, 0.8746184012066365, 0.8753906485671191, 0.8747390648567119, 0.8755716440422323, 0.874920060331825, 0.875656108597285, 0.8749079939668175, 0.875656108597285, 0.8750648567119156, 0.8758009049773756, 0.8751251885369532, 0.8757164404223228, 0.8751734539969834, 0.8756802413273002, 0.8751734539969834, 0.8756923076923077, 0.8752820512820513, 0.8756199095022624, 0.8753785822021116, 0.8754992458521871, 0.8754509803921569, 0.8753785822021116, 0.8755957767722473, 0.8753785822021116, 0.8755113122171946, 0.8753785822021116, 0.8754871794871795, 0.8754147812971342, 0.8755113122171946, 0.875475113122172, 0.8755354449472097, 0.8754268476621417, 0.8755233785822021]",100
